num signal noise
1 -0.080269 0.919731 
2 0.122952 1.044381 
3 0.212697 1.076422 
4 0.217294 1.086095 
5 0.168748 1.025326 
6 -0.000082 0.916470 
7 -0.075419 0.770617 
8 -0.470068 0.605102 
9 -0.716775 0.476340 
10 -0.817642 0.433093 
11 -0.844796 0.497413 
12 -0.765360 0.680535 
13 -0.234013 0.976786 
14 0.487058 1.320484 
15 0.885118 1.620524 
16 1.280538 1.831796 
17 1.372947 1.903000 
18 1.188196 1.819493 
19 0.599440 1.611867 
20 0.368692 1.361217 
21 -0.095839 1.092288 
22 -0.356505 0.862668 
23 -0.492594 0.697915 
24 -0.363742 0.598717 
25 -0.604735 0.528142 
26 -0.489496 0.507106 
27 -0.464273 0.507222 
28 -0.534522 0.514770 
29 -0.611338 0.528565 
30 -0.339678 0.553535 
31 -0.354362 0.553914 
32 -0.386237 0.556842 
33 -0.420271 0.612804 
34 -0.579569 0.782160 
35 -0.689398 1.153686 
36 -0.155500 1.611048 
37 1.017639 2.140995 
38 2.528859 2.637765 
39 4.506439 2.942077 
40 6.106768 3.020762 
41 6.857993 3.081442 
42 6.592082 3.037563 
43 5.666560 2.927962 
44 3.951755 2.869736 
45 2.452832 2.674539 
46 1.257472 2.324565 
47 0.523514 1.945532 
48 0.088621 1.581587 
49 -0.027225 1.228810 
50 -0.070498 1.031837 
51 -0.069546 0.928857 
52 -0.167836 0.858686 
53 -0.210125 0.794634 
54 -0.111111 0.716564 
55 -0.243992 0.599525 
56 -0.576345 0.448919 
57 -0.706211 0.297371 
58 -0.859331 0.154074 
59 -1.169211 0.031437 
60 -1.256651 -0.030620 
61 -1.106701 -0.018497 
62 -1.038318 0.056365 
63 -0.992042 0.197662 
64 -0.712804 0.413545 
65 -0.414797 0.676988 
66 -0.068614 0.962992 
67 0.290480 1.245755 
68 0.739901 1.489131 
69 0.932578 1.646674 
70 0.991098 1.706424 
71 0.888437 1.671133 
72 0.634616 1.565280 
73 0.326008 1.426630 
74 0.133144 1.295863 
75 0.020955 1.191355 
76 0.081450 1.113588 
77 0.158823 1.037026 
78 0.109192 0.936995 
79 -0.009815 0.797463 
80 -0.280678 0.618661 
81 -0.695397 0.421366 
82 -0.903695 0.246316 
83 -1.095155 0.113159 
84 -1.134511 0.044650 
85 -1.044652 0.044264 
86 -0.916103 0.097447 
87 -0.918899 0.179375 
88 -0.683306 0.287601 
89 -0.556127 0.395413 
90 -0.469384 0.488394 
91 -0.418217 0.566222 
92 -0.276626 0.641301 
93 -0.281813 0.702992 
94 -0.348530 0.766221 
95 -0.272948 0.850626 
96 0.010967 0.953499 
97 0.030954 1.045602 
98 0.158109 1.137797 
99 0.388467 1.220479 
100 0.385197 1.273094 
101 0.170906 1.307678 
102 0.340824 1.359546 
103 0.360208 1.412069 
104 0.373779 1.471454 
105 0.592580 1.546771 
106 0.762955 1.619984 
107 0.667044 1.676004 
108 0.733865 1.740570 
109 0.757387 1.809284 
110 0.747387 1.884020 
111 0.925169 1.970226 
112 1.206899 2.048083 
113 1.211243 2.075469 
114 1.291526 2.049470 
115 1.188958 1.962604 
116 0.878634 1.821313 
117 0.485001 1.658433 
118 0.353991 1.520068 
119 0.303999 1.411087 
120 0.269891 1.323378 
